Frequency (Hz),Channel 1 Magnitude (dB)
2.000000000000002,13.38659457564959
2.030635880194661,13.48679904161424
2.061741038966971,13.58853077158986
2.093322664698073,13.68837126586693
2.125388055880303,13.78774608390416
2.157944622803857,13.88898464444899
2.190999889269321,13.98304439789468
2.224561494326404,14.08405692724821
2.258637194039322,14.18151721996663
2.293234863279217,14.27493788111187
2.328362497544036,14.37418526501146
2.364028214806286,14.46815738901568
2.400240257389087,14.56165461589683
2.437006993870971,14.65459986423988
2.47433692101986,14.74859220187179
2.512238665756653,14.83980452563435
2.550720987148909,14.93174833261572
2.58979277843506,15.02372380074499
2.629463069079625,15.11217734662293
2.669741026859927,15.1991152116094
2.710635959984751,15.28418702991202
2.752157319245464,15.37252089021285
2.794314700200093,15.46014376579167
2.837117845390846,15.54495573637789
2.880576646595611,15.61987018000534
2.924701147113929,15.70399880194453
2.969501544088011,15.78836083161477
3.014988190859279,15.87093482837555
3.061171599361018,15.94497134110203
3.108062442547676,16.03099593383459
3.155671556861382,16.10805244489166
3.204009944736234,16.19251061925856
3.253088777140952,16.26084121556102
3.302919396160493,16.34093593191139
3.353513317617187,16.40735988806711
3.404882233732044,16.48491611246884
3.457038015826809,16.55867801066182
3.509992717067439,16.62743964450981
3.563758575249541,16.70025985948977
3.618348015626558,16.76962807094738
3.673773653781217,16.84000667077307
3.730048298540986,16.90533373092195
3.787184954938183,16.97052210016552
3.845196827215438,17.03814615505532
3.904097321877166,17.10357873291725
3.963900050787825,17.16770905681981
4.024618834317595,17.22971576964919
4.086267704536255,17.28980641662041
4.148860908455995,17.35191441783875
4.212412911323876,17.41119732154163
4.276938399964757,17.47195539115412
4.342452286175386,17.52843136217211
4.408969710170533,17.58563499778794
4.476506044081865,17.64142722919044
4.545076895510445,17.69631477387842
4.614698111133631,17.75278401896903
4.685385780367236,17.80424496300915
4.757156239083786,17.85228519762969
4.830026073387709,17.90624802484579
4.904012123448402,17.96084487685486
4.979131487391963,18.00717380210962
5.05540152525256,18.05204457890471
5.132839862984328,18.10325317021252
5.211464396534708,18.15003879701734
5.291293295980197,18.19651944126531
5.372345009725423,18.23827675611315
5.454638268766584,18.28524859404328
5.538192091020153,18.32640869495054
5.623025785717904,18.36998303800155
5.709158957869271,18.4095763079835
5.796611512792045,18.45212802009435
5.88540366071249,18.49077288644654
5.975555921435888,18.53390571563647
6.067089129088687,18.56899841772207
6.160024436933226,18.60662327123493
6.254383322256256,18.64416230448632
6.350187591332315,18.67813254252354
6.447459384463156,18.71269682208553
6.546221181094327,18.74603648989006
6.646495805010201,18.78234891484303
6.748306429608498,18.81093227605236
6.851676583255666,18.8443534312321
6.956630154724253,18.87676569257243
7.063191398713595,18.90631844579338
7.171384941455071,18.93785898572478
7.281235786403172,18.9674718573926
7.392769320013819,18.99543701810488
7.506011317611168,19.02100131673018
7.620987949344213,19.05058478095483
7.737725786234739,19.07714963224775
7.856251806317854,19.10403379546701
7.976593400876568,19.13121623065229
8.098778380771948,19.15534520148962
8.222834982870161,19.17781485734809
8.348791876567992,19.20367255910804
8.476678170418333,19.22702391203117
8.606523418857142,19.24833453502124
8.738357629033469,19.27197918967095
8.872211267744046,19.29317724355844
9.008115268474203,19.31117678481832
9.146101038546529,19.33355931409596
9.28620046637911,19.35251815914471
9.428445928854899,19.37193090047833
9.57287029880402,19.3922832089516
9.719506952600605,19.41204618358729
9.868389777876121,19.42969022169427
10.01955318135073,19.44525310821776
10.17303209678466,19.4646092250432
10.32886199305142,19.48003325242694
10.48707888233457,19.49682265234289
10.64771932845015,19.50887984179233
10.81082045529653,19.52587306396634
10.97641995543375,19.54004943585941
11.14455609879421,19.5555737543829
11.31526774152687,19.56932719387779
11.48859433497683,19.58437452843101
11.66457593480252,19.59755947028478
